name	version	primary_reachability	reachable_in_roots	immediate_forcers	workspace_roots	release_roots	closure_edges	closure_basis	decision	constraint_assessment	revisit_condition
foldhash	0.1.5	release-normal	sentinel-daemon	hashbrown@0.15.5	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	7	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
foldhash	0.2.0	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	bevy_platform@0.18.0,bevy_reflect@0.18.0,hashbrown@0.16.1,hashbrown@0.17.1	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	342	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
getrandom	0.2.17	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	nanorand@0.7.0,nkeys@0.4.5,rand_core@0.6.4,redox_users@0.4.6,redox_users@0.5.2,ring@0.17.14,zenoh-keyexpr@1.7.2	sentinel-cluster-control,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	224	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
getrandom	0.3.4	release-normal	sentinel-daemon,sentinel-dashboard-backend	ahash@0.8.12,bolero-generator@0.13.5,fastbloom@0.14.1,jobserver@0.1.34,quinn-proto@0.11.15,rand_core@0.9.5	sentinel-bio,sentinel-cluster-control,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	291	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
getrandom	0.4.1	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	rand@0.10.1,tempfile@3.27.0,uuid@1.22.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	132	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
hashbrown	0.12.3	optional-disabled		indexmap@1.9.3	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	36	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
hashbrown	0.14.5	release-normal	sentinel-daemon	keyed-set@1.1.0	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	96	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
hashbrown	0.15.5	release-normal	sentinel-daemon	petgraph@0.8.3	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	6	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
hashbrown	0.16.1	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	aya-obj@0.2.2,aya@0.13.2,bevy_platform@0.18.0,gimli@0.33.0,hashlink@0.11.0,object@0.38.1,rsqlite-vfs@0.1.0,zenoh-keyexpr@1.7.2	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	228	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
hashbrown	0.17.1	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	cranelift-codegen@0.132.3,indexmap@2.14.0,object@0.39.1,regalloc2@0.15.1,wasmtime-environ@45.0.3,wasmtime-internal-core@45.0.3,wit-parser@0.248.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	254	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
indexmap	1.9.3	optional-disabled		serde_with@3.17.0	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	35	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
indexmap	2.14.0	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	bevy_ecs@0.18.1,bevy_reflect@0.18.0,bevy_reflect_derive@0.18.0,gimli@0.33.0,h2@0.4.14,object@0.38.1,object@0.39.1,petgraph@0.6.5,petgraph@0.8.3,serde_yaml@0.9.34+deprecated,toml_edit@0.20.2,toml_edit@0.23.10+spec-1.0.0,wasm-compose@0.248.0,wasmtime-environ@45.0.3,wasmtime-internal-wit-bindgen@45.0.3,wit-parser@0.248.0	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	221	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
itertools	0.10.5	dev-bench-only		criterion-plot@0.5.0,criterion@0.5.1	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	41	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
itertools	0.13.0	dev-bench-only		criterion-plot@0.8.2,criterion@0.8.2	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	42	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
itertools	0.14.0	release-normal	sentinel-daemon	wasmtime-internal-cranelift@45.0.3,zenoh@1.7.2	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-daemon	19	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
nix	0.29.0	release-normal	sentinel-daemon	zenoh-link-unixsock_stream@1.7.2	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	9	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
nix	0.30.1	release-normal	sentinel-daemon	fuser@0.17.0	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-fs,sentinel-microvm,sentinel-sandbox	sentinel-daemon,sentinel-dashboard-backend	8	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
object	0.38.1	release-normal	sentinel-daemon	aya-obj@0.2.2,aya@0.13.2,sentinel-ebpf@0.1.0	sentinel-daemon,sentinel-ebpf	sentinel-daemon	8	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
object	0.39.1	release-normal	sentinel-daemon	wasmtime-environ@45.0.3,wasmtime-internal-cranelift@45.0.3,wasmtime-internal-jit-debug@45.0.3,wasmtime-internal-unwinder@45.0.3,wasmtime@45.0.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	32	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
petgraph	0.6.5	release-normal	sentinel-daemon	wasm-compose@0.248.0	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	14	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
petgraph	0.8.3	release-normal	sentinel-daemon	zenoh@1.7.2	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	5	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand	0.10.1	release-normal	sentinel-daemon	wasmtime-wasi@45.0.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	7	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand	0.8.6	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	async-nats@0.47.0,nkeys@0.4.5,nuid@0.5.0,num-bigint-dig@0.8.6,stabby-macros@72.1.4,tokio-websockets@0.10.1,tungstenite@0.24.0,uhlc@0.8.2,zenoh-crypto@1.7.2,zenoh-keyexpr@1.7.2,zenoh-transport@1.7.2,zenoh@1.7.2	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	125	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand	0.9.4	release-normal	sentinel-daemon,sentinel-dashboard-backend	bolero-engine@0.13.4,bolero@0.13.4,fastbloom@0.14.1,quinn-proto@0.11.15	sentinel-bio,sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	58	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand_chacha	0.3.1	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	rand@0.8.6,zenoh-crypto@1.7.2	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	127	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand_chacha	0.9.0	release-normal	sentinel-daemon,sentinel-dashboard-backend	rand@0.9.4	sentinel-bio,sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	59	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand_core	0.10.1	release-normal	sentinel-daemon	chacha20@0.10.0,getrandom@0.4.1,rand@0.10.1	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	136	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand_core	0.6.4	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	rand@0.8.6,rand_chacha@0.3.1,rsa@0.9.10,signatory@0.27.1,signature@2.2.0	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	140	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
rand_core	0.9.5	release-normal	sentinel-daemon,sentinel-dashboard-backend	bolero-generator@0.13.5,rand@0.9.4,rand_chacha@0.9.0,rand_xoshiro@0.7.0	sentinel-bio,sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-memory,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-projection-service	67	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
redox_users	0.4.6	target-only		dirs-sys-next@0.1.2	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	16	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
redox_users	0.5.2	target-only		dirs-sys@0.5.0	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	46	active-all-target-tree	leave	foreign-target upstream constraints; no Linux release cost	supported target policy or upstream constraints change
schemars	0.9.0	optional-disabled		serde_with@3.17.0	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	35	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
schemars	1.2.1	release-normal	sentinel-daemon	zenoh-keyexpr@1.7.2,zenoh-util@1.7.2	sentinel-daemon,sentinel-sandbox,sentinel-zenoh	sentinel-daemon	96	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
socket2	0.5.10	release-normal	sentinel-daemon,sentinel-dashboard-backend	wtransport@0.6.1,zenoh-link-commons@1.7.2,zenoh-link-tcp@1.7.2,zenoh-link-tls@1.7.2,zenoh-link-udp@1.7.2,zenoh@1.7.2	sentinel-daemon,sentinel-dashboard-backend,sentinel-sandbox,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend	31	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
socket2	0.6.4	release-normal	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	hyper-util@0.1.20,quinn-udp@0.5.14,quinn@0.11.9,tokio@1.52.3	sentinel-cluster-control,sentinel-console-plane,sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-ctl,sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	221	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
spin	0.10.1	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	bevy_platform@0.18.0,uhlc@0.8.2	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	133	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
spin	0.9.9	release-normal	sentinel-daemon	flume@0.11.1,lazy_static@1.5.0	sentinel-bio,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	170	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
thiserror	1.0.69	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	async-nats@0.47.0,jni@0.21.1,redox_users@0.4.6,tungstenite@0.24.0,witx@0.9.1	sentinel-cluster-control,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-gaia-loop,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	64	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
thiserror	2.0.18	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	asn1-rs@0.7.1,aya-log@0.2.2,aya-obj@0.2.2,aya@0.13.2,bevy_ecs@0.18.1,bevy_reflect@0.18.0,cobs@0.3.0,landlock@0.4.4,quinn-proto@0.11.15,quinn@0.11.9,redox_users@0.5.2,rsqlite-vfs@0.1.0,sentinel-cluster-control@0.1.0,sentinel-common@0.1.0,sentinel-dashboard-backend@0.1.0,sentinel-ebpf@0.1.0,sentinel-gaia-loop@0.1.0,sentinel-gaia-memory@0.1.0,sentinel-hippocampus@0.1.0,tls-listener@0.11.2,wasmtime-internal-cranelift@45.0.3,wasmtime-wasi@45.0.3,wiggle@45.0.3,wtransport-proto@0.6.1,wtransport@0.6.1,x509-parser@0.17.0,x509-parser@0.18.1	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	201	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
